,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.url.urls,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang,retweeted_status.user.entities.url.urls,retweeted_status.place.id,retweeted_status.place.url,retweeted_status.place.place_type,retweeted_status.place.name,retweeted_status.place.full_name,retweeted_status.place.country_code,retweeted_status.place.country,retweeted_status.place.contained_within,retweeted_status.place.bounding_box.type,retweeted_status.place.bounding_box.coordinates,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates
58,Fri Jan 24 00:15:50 +0000 2020,1220500418964398082,1220500418964398082,"It is rumored that the major anchor for @UCF Downtown was originally supposed to be a law school but the turmoil at UCF prevented it from taking over the @FAMU_1887 Law School. Without a law school, UCF Downtown is without a major financial revenue source.",False,"[0, 256]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2204959289452503e+18,1220495928945250304,1.2041178839761428e+18,1204117883976142848,of_ucf,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'UCF', 'name': 'UCF', 'id': 18999501, 'id_str': '18999501', 'indices': [40, 44]}, {'screen_name': 'FAMU_1887', 'name': 'FloridaA&MUniversity', 'id': 29556786, 'id_str': '29556786', 'indices': [154, 164]}]",[],en,recent,1204117883976142848,1204117883976142848,University of Corruption and Fraud,of_ucf,,"Bloggers. Current-former faculty, staff & students sharing information about University Corruption and Fraud (universityofcorruptionandfraud@gmail.com)",,,[],False,830,92,3,Mon Dec 09 19:17:41 +0000 2019,56,,,True,False,89,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1216330777547497472/XsmvYwSl_normal.jpg,https://pbs.twimg.com/profile_images/1216330777547497472/XsmvYwSl_normal.jpg,https://pbs.twimg.com/profile_banners/1204117883976142848/1579811750,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Thu Jan 23 23:57:59 +0000 2020,1220495928945250304,1220495928945250304,"We’re getting lots of complaints about @UCF Downtown campus. Per faculty/staff: the public doesn't know how fraught UCF DT is w/problems, including lack of money to make it work. @ucfnscm is in chaos bc leaders turned it into a college without funds, new faculty or new students.",False,"[0, 279]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,14,False,False,en,[],[],"[{'screen_name': 'UCF', 'name': 'UCF', 'id': 18999501, 'id_str': '18999501', 'indices': [39, 43]}, {'screen_name': 'ucfnscm', 'name': 'Nicholson School', 'id': 125639193, 'id_str': '125639193', 'indices': [179, 187]}]",[],en,recent,1204117883976142848,1204117883976142848,University of Corruption and Fraud,of_ucf,,"Bloggers. Current-former faculty, staff & students sharing information about University Corruption and Fraud (universityofcorruptionandfraud@gmail.com)",,,[],False,830,92,3,Mon Dec 09 19:17:41 +0000 2019,56,,,True,False,89,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1216330777547497472/XsmvYwSl_normal.jpg,https://pbs.twimg.com/profile_images/1216330777547497472/XsmvYwSl_normal.jpg,https://pbs.twimg.com/profile_banners/1204117883976142848/1579811750,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Thu Jan 23 21:37:54 +0000 2020,1220460676306567169,1220460676306567169,"RT @UCF: Nobody:

Absolutely no one: 

Spring 2020 #UCFGrad: I'M GRADUATING THIS SEMESTER AND I WANT EVERYONE TO KNOW",False,"[0, 117]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,15,0,False,False,en,"[{'text': 'UCFGrad', 'indices': [51, 59]}]",[],"[{'screen_name': 'UCF', 'name': 'UCF', 'id': 18999501, 'id_str': '18999501', 'indices': [3, 7]}]",[],en,recent,866436421065854977,866436421065854977,DropitLowe,kayla_jenell,Ft.Lauderdale,UCF 20'| Believer| JTWHS Scholar | C2C VP👑| 2018-19 Miss Inspiration ✳️| Beyhive 🐝| Figuring this life thing out,,,[],False,722,597,2,Sun May 21 23:31:55 +0000 2017,9972,,,True,False,6804,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1213338058332024832/vC424uoH_normal.jpg,https://pbs.twimg.com/profile_images/1213338058332024832/vC424uoH_normal.jpg,https://pbs.twimg.com/profile_banners/866436421065854977/1549752112,FAB81E,000000,000000,000000,False,True,False,False,False,False,False,none,Thu Jan 23 21:34:00 +0000 2020,1.2204596921509396e+18,1220459692150939649,"Nobody:

Absolutely no one: 

Spring 2020 #UCFGrad: I'M GRADUATING THIS SEMESTER AND I WANT EVERYONE TO KNOW",False,"[0, 108]","[{'text': 'UCFGrad', 'indices': [42, 50]}]",[],[],[],en,recent,"<a href=""https://ads-api.twitter.com"" rel=""nofollow"">Twitter for Advertisers</a>",,,,,,18999501.0,18999501,UCF,UCF,"Orlando, Florida","University of Central Florida. Committed to student success, @UCFALUMNI, innovation and faculty excellence. Go @UCFKnights. #ChargeOn | https://t.co/PpKaO1mUOF",https://t.co/T4HPl8hPpv,"[{'url': 'https://t.co/PpKaO1mUOF', 'expanded_url': 'http://instagram.com/ucf.edu', 'display_url': 'instagram.com/ucf.edu', 'indices': [136, 159]}]",False,178376.0,1217.0,780.0,Wed Jan 14 22:34:41 +0000 2009,32879.0,,,True,True,24460.0,,False,False,False,FFCC00,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/462235833274073088/2Mo_aqES_normal.png,https://pbs.twimg.com/profile_images/462235833274073088/2Mo_aqES_normal.png,https://pbs.twimg.com/profile_banners/18999501/1578087821,FFC904,FFFFFF,CCCCCC,333333,False,True,False,False,False,False,False,none,,,,,False,15.0,81.0,False,False,en,"[{'url': 'https://t.co/T4HPl8hPpv', 'expanded_url': 'http://www.ucf.edu', 'display_url': 'ucf.edu', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,
65,Thu Jan 23 19:52:50 +0000 2020,1220434235464523777,1220434235464523777,@aerospacetoya @UCF is one of the few schools I've encountered who actually said we want diversity and are activy trying to diversify. I think this will be awesome for you. Good luck and congrats!,False,"[15, 196]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2204109747018506e+18,1220410974701850626,57060169.0,57060169,aerospacetoya,,,,,False,1,5,False,False,en,[],[],"[{'screen_name': 'aerospacetoya', 'name': 'toya🧸🚀', 'id': 57060169, 'id_str': '57060169', 'indices': [0, 14]}, {'screen_name': 'UCF', 'name': 'UCF', 'id': 18999501, 'id_str': '18999501', 'indices': [15, 19]}]",[],en,recent,20213918,20213918,Everybody Hates Ashley,Loading_DrF,,"Ashley E. Foster, 👩🏾‍🎓M.S.🎓, B.A. 🎓 (Prereqs for #medschool loading...) #Endo and #PCOS fighter..@Americorps Alum.#APO #OES.. #psychology and #history",,,[],False,452,1050,3,Fri Feb 06 03:14:42 +0000 2009,32695,,,False,False,6771,,False,False,False,000000,http://abs.twimg.com/images/themes/theme8/bg.gif,https://abs.twimg.com/images/themes/theme8/bg.gif,False,http://pbs.twimg.com/profile_images/1213287601051848707/XmKPrLuR_normal.jpg,https://pbs.twimg.com/profile_images/1213287601051848707/XmKPrLuR_normal.jpg,https://pbs.twimg.com/profile_banners/20213918/1554499742,E81C4F,000000,000000,000000,False,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Thu Jan 23 18:00:50 +0000 2020,1220406049074708481,1220406049074708481,@vinnie_vu @Limbitless3D @UCF @ThadSeymour Was thank you!! Proud to do it!!,False,"[43, 75]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2203650562164613e+18,1220365056216461315,7.170206216292065e+17,717020621629206528,vinnie_vu,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'vinnie_vu', 'name': 'Vinnie Vu', 'id': 717020621629206528, 'id_str': '717020621629206528', 'indices': [0, 10]}, {'screen_name': 'Limbitless3D', 'name': 'Limbitless Solutions', 'id': 2815325614, 'id_str': '2815325614', 'indices': [11, 24]}, {'screen_name': 'UCF', 'name': 'UCF', 'id': 18999501, 'id_str': '18999501', 'indices': [25, 29]}, {'screen_name': 'ThadSeymour', 'name': 'Thad Seymour', 'id': 256726086, 'id_str': '256726086', 'indices': [30, 42]}]",[],en,recent,881974187589603328,881974187589603328,Rep. Anna V. Eskamani 🔨,AnnaForFlorida,"Orlando, FL","Orlando native, daughter of immigrants, authentic, and unafraid progressive. Worked at Planned Parenthood, @UCF grad, elected to serve FL HD47. #OnwardWithAnna",https://t.co/qXl7VZdsRV,"[{'url': 'https://t.co/qXl7VZdsRV', 'expanded_url': 'http://annaforflorida.com', 'display_url': 'annaforflorida.com', 'indices': [0, 23]}]",[],False,14259,1892,149,Mon Jul 03 20:33:27 +0000 2017,34916,,,True,False,24436,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1081708699419324416/HrcpEJl9_normal.jpg,https://pbs.twimg.com/profile_images/1081708699419324416/HrcpEJl9_normal.jpg,https://pbs.twimg.com/profile_banners/881974187589603328/1578863175,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ecbe2aea853af44e,https://api.twitter.com/1.1/geo/id/ecbe2aea853af44e.json,city,Tallahassee,"Tallahassee, FL",US,United States,[],Polygon,"[[[-84.386548, 30.365093], [-84.1458, 30.365093], [-84.1458, 30.587338], [-84.386548, 30.587338]]]"
74,Thu Jan 23 16:25:51 +0000 2020,1220382144452648961,1220382144452648961,"RT @UCF: Last week, @UCFPolice welcomed 6️⃣ new officers to the UCF family.

Learn more about the diverse new team 👇",False,"[0, 116]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,8,0,False,False,en,[],[],"[{'screen_name': 'UCF', 'name': 'UCF', 'id': 18999501, 'id_str': '18999501', 'indices': [3, 7]}, {'screen_name': 'UCFPolice', 'name': 'UCF Police Dept.', 'id': 2364435085, 'id_str': '2364435085', 'indices': [20, 30]}]",[],en,recent,765205096225529856,765205096225529856,KNIGHTS BE CLEAR,KNIGHTSBECLEAR,"Orlando, FL","Let's Be Clear:  Sexual violence is not tolerated. 

 A UCF Victim Advocate can be reached 24/7 by calling (407)823-1200 or texting (407)823-6868",https://t.co/DLdTZXhrNj,"[{'url': 'https://t.co/DLdTZXhrNj', 'expanded_url': 'http://letsbeclear.ucf.edu', 'display_url': 'letsbeclear.ucf.edu', 'indices': [0, 23]}]",[],False,258,155,4,Mon Aug 15 15:14:46 +0000 2016,45,,,False,False,146,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/969302817646112768/iOqQlk2I_normal.jpg,https://pbs.twimg.com/profile_images/969302817646112768/iOqQlk2I_normal.jpg,https://pbs.twimg.com/profile_banners/765205096225529856/1519932229,FAB81E,000000,000000,000000,False,False,False,False,False,False,False,none,Wed Jan 22 22:27:21 +0000 2020,1.2201107306297958e+18,1220110730629795840,"Last week, @UCFPolice welcomed 6️⃣ new officers to the UCF family.

Learn more about the diverse new team 👇",False,"[0, 107]",[],[],"[{'screen_name': 'UCFPolice', 'name': 'UCF Police Dept.', 'id': 2364435085, 'id_str': '2364435085', 'indices': [11, 21]}]",[],en,recent,"<a href=""https://ads-api.twitter.com"" rel=""nofollow"">Twitter for Advertisers</a>",,,,,,18999501.0,18999501,UCF,UCF,"Orlando, Florida","University of Central Florida. Committed to student success, @UCFALUMNI, innovation and faculty excellence. Go @UCFKnights. #ChargeOn | https://t.co/PpKaO1mUOF",https://t.co/T4HPl8hPpv,"[{'url': 'https://t.co/PpKaO1mUOF', 'expanded_url': 'http://instagram.com/ucf.edu', 'display_url': 'instagram.com/ucf.edu', 'indices': [136, 159]}]",False,178376.0,1217.0,780.0,Wed Jan 14 22:34:41 +0000 2009,32879.0,,,True,True,24460.0,,False,False,False,FFCC00,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/462235833274073088/2Mo_aqES_normal.png,https://pbs.twimg.com/profile_images/462235833274073088/2Mo_aqES_normal.png,https://pbs.twimg.com/profile_banners/18999501/1578087821,FFC904,FFFFFF,CCCCCC,333333,False,True,False,False,False,False,False,none,,,,,False,8.0,59.0,False,False,en,"[{'url': 'https://t.co/T4HPl8hPpv', 'expanded_url': 'http://www.ucf.edu', 'display_url': 'ucf.edu', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,
75,Thu Jan 23 16:07:34 +0000 2020,1220377542151917568,1220377542151917568,"@ThadSeymour just announced in an email statement that Michael Johnson, current Dean of the College of Sciences @UCF will be stepping in as UCF Interim Provost until the investigation into Dr. Elizabeth Dooley for ""concerns that have been raised"" is completed.",False,"[0, 260]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,256726086.0,256726086,ThadSeymour,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'ThadSeymour', 'name': 'Thad Seymour', 'id': 256726086, 'id_str': '256726086', 'indices': [0, 12]}, {'screen_name': 'UCF', 'name': 'UCF', 'id': 18999501, 'id_str': '18999501', 'indices': [112, 116]}]",[],en,recent,1219702906091450368,1219702906091450368,Rachel Smith,byrachelsmith,"Orlando, FL",reporter @wmfeorlando // editor @nsmtoday // future @ucf alum. 💛🖤 // retweets ≠ endorsements,https://t.co/rnM6jvYGpp,"[{'url': 'https://t.co/rnM6jvYGpp', 'expanded_url': 'http://linkedin.com/in/byrachelsmith', 'display_url': 'linkedin.com/in/byrachelsmi…', 'indices': [0, 23]}]",[],False,24,70,0,Tue Jan 21 19:27:00 +0000 2020,20,,,True,False,21,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1220554263492952065/32APx6ih_normal.jpg,https://pbs.twimg.com/profile_images/1220554263492952065/32APx6ih_normal.jpg,https://pbs.twimg.com/profile_banners/1219702906091450368/1579836176,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Thu Jan 23 15:51:13 +0000 2020,1220373428466831360,1220373428466831360,"RT @UCF: Last week, @UCFPolice welcomed 6️⃣ new officers to the UCF family.

Learn more about the diverse new team 👇",False,"[0, 116]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,8,0,False,False,en,[],[],"[{'screen_name': 'UCF', 'name': 'UCF', 'id': 18999501, 'id_str': '18999501', 'indices': [3, 7]}, {'screen_name': 'UCFPolice', 'name': 'UCF Police Dept.', 'id': 2364435085, 'id_str': '2364435085', 'indices': [20, 30]}]",[],en,recent,850710809751822336,850710809751822336,Chief Carl Metzger,UCFChiefMetzger,"Orlando, FL","Chief of Police, @UCFPolice. Account not monitored 24/7. Dial 911 in emergencies. Views are my own. RTs are not endorsements.",,,[],False,853,66,18,Sat Apr 08 14:03:57 +0000 2017,6848,,,False,False,1073,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1032005720785518592/Wzg1AHE4_normal.jpg,https://pbs.twimg.com/profile_images/1032005720785518592/Wzg1AHE4_normal.jpg,https://pbs.twimg.com/profile_banners/850710809751822336/1530799837,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,Wed Jan 22 22:27:21 +0000 2020,1.2201107306297958e+18,1220110730629795840,"Last week, @UCFPolice welcomed 6️⃣ new officers to the UCF family.

Learn more about the diverse new team 👇",False,"[0, 107]",[],[],"[{'screen_name': 'UCFPolice', 'name': 'UCF Police Dept.', 'id': 2364435085, 'id_str': '2364435085', 'indices': [11, 21]}]",[],en,recent,"<a href=""https://ads-api.twitter.com"" rel=""nofollow"">Twitter for Advertisers</a>",,,,,,18999501.0,18999501,UCF,UCF,"Orlando, Florida","University of Central Florida. Committed to student success, @UCFALUMNI, innovation and faculty excellence. Go @UCFKnights. #ChargeOn | https://t.co/PpKaO1mUOF",https://t.co/T4HPl8hPpv,"[{'url': 'https://t.co/PpKaO1mUOF', 'expanded_url': 'http://instagram.com/ucf.edu', 'display_url': 'instagram.com/ucf.edu', 'indices': [136, 159]}]",False,178376.0,1217.0,780.0,Wed Jan 14 22:34:41 +0000 2009,32879.0,,,True,True,24460.0,,False,False,False,FFCC00,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/462235833274073088/2Mo_aqES_normal.png,https://pbs.twimg.com/profile_images/462235833274073088/2Mo_aqES_normal.png,https://pbs.twimg.com/profile_banners/18999501/1578087821,FFC904,FFFFFF,CCCCCC,333333,False,True,False,False,False,False,False,none,,,,,False,8.0,59.0,False,False,en,"[{'url': 'https://t.co/T4HPl8hPpv', 'expanded_url': 'http://www.ucf.edu', 'display_url': 'ucf.edu', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,
85,Thu Jan 23 03:08:01 +0000 2020,1220181361652314117,1220181361652314117,"RT @UCF: Last week, @UCFPolice welcomed 6️⃣ new officers to the UCF family.

Learn more about the diverse new team 👇",False,"[0, 116]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,8,0,False,False,en,[],[],"[{'screen_name': 'UCF', 'name': 'UCF', 'id': 18999501, 'id_str': '18999501', 'indices': [3, 7]}, {'screen_name': 'UCFPolice', 'name': 'UCF Police Dept.', 'id': 2364435085, 'id_str': '2364435085', 'indices': [20, 30]}]",[],en,recent,776545370826543105,776545370826543105,UCF Knights Nation,UCFKnightsNatn,"Orlando, FL",The UCF Zombie Nation Returns!! 2017 Undefeated National CFB Champions! 24-0 #10hana! UCF Fans Only! #usfNoFlyZone! UCF writer @SBNation's @UCF_Banneret,https://t.co/Rou0ghAOWI,"[{'url': 'https://t.co/Rou0ghAOWI', 'expanded_url': 'https://returnofthezombienation.wordpress.com/', 'display_url': 'returnofthezombienation.wordpress.com', 'indices': [0, 23]}]",[],False,2412,1844,37,Thu Sep 15 22:16:58 +0000 2016,19509,,,False,False,109745,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1067547848982568961/LxjwpEn0_normal.jpg,https://pbs.twimg.com/profile_images/1067547848982568961/LxjwpEn0_normal.jpg,https://pbs.twimg.com/profile_banners/776545370826543105/1543041185,FAB81E,000000,000000,000000,False,True,False,False,False,False,False,none,Wed Jan 22 22:27:21 +0000 2020,1.2201107306297958e+18,1220110730629795840,"Last week, @UCFPolice welcomed 6️⃣ new officers to the UCF family.

Learn more about the diverse new team 👇",False,"[0, 107]",[],[],"[{'screen_name': 'UCFPolice', 'name': 'UCF Police Dept.', 'id': 2364435085, 'id_str': '2364435085', 'indices': [11, 21]}]",[],en,recent,"<a href=""https://ads-api.twitter.com"" rel=""nofollow"">Twitter for Advertisers</a>",,,,,,18999501.0,18999501,UCF,UCF,"Orlando, Florida","University of Central Florida. Committed to student success, @UCFALUMNI, innovation and faculty excellence. Go @UCFKnights. #ChargeOn | https://t.co/PpKaO1mUOF",https://t.co/T4HPl8hPpv,"[{'url': 'https://t.co/PpKaO1mUOF', 'expanded_url': 'http://instagram.com/ucf.edu', 'display_url': 'instagram.com/ucf.edu', 'indices': [136, 159]}]",False,178376.0,1217.0,780.0,Wed Jan 14 22:34:41 +0000 2009,32879.0,,,True,True,24460.0,,False,False,False,FFCC00,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/462235833274073088/2Mo_aqES_normal.png,https://pbs.twimg.com/profile_images/462235833274073088/2Mo_aqES_normal.png,https://pbs.twimg.com/profile_banners/18999501/1578087821,FFC904,FFFFFF,CCCCCC,333333,False,True,False,False,False,False,False,none,,,,,False,8.0,59.0,False,False,en,"[{'url': 'https://t.co/T4HPl8hPpv', 'expanded_url': 'http://www.ucf.edu', 'display_url': 'ucf.edu', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,
90,Thu Jan 23 02:06:23 +0000 2020,1220165852110213121,1220165852110213121,@UCF Get better bandwidth.,False,"[5, 26]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2201091266691768e+18,1220109126669176832,18999501.0,18999501,UCF,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'UCF', 'name': 'UCF', 'id': 18999501, 'id_str': '18999501', 'indices': [0, 4]}]",[],en,recent,470631040,470631040,Queen Lexi ❄️,lexirenep,"Tampa, FL","Come, my darling, homeward bound. | MechE | UCF | List Every Major Theme Park Here | She/Her/Hers",,,[],False,436,623,0,Sun Jan 22 00:04:00 +0000 2012,63217,,,True,False,5339,,False,False,False,020812,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1221304017688694785/2w00X6ke_normal.jpg,https://pbs.twimg.com/profile_images/1221304017688694785/2w00X6ke_normal.jpg,https://pbs.twimg.com/profile_banners/470631040/1578108084,17406C,2280A9,020812,2280A9,True,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Wed Jan 22 23:13:19 +0000 2020,1220122297937383429,1220122297937383429,"@TammieNemecek @elonmusk @UCF_Football @SpaceX @UCFDannyWhite @UCF Love it! Need someone to do a photo of the stadium with #SpaceX logo, ideally with rocket launch in background.",False,"[67, 178]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.220106178967081e+18,1220106178967080960,15613409.0,15613409,TammieNemecek,,,,,False,0,4,False,False,en,"[{'text': 'SpaceX', 'indices': [123, 130]}]",[],"[{'screen_name': 'TammieNemecek', 'name': 'Tammie Sweet', 'id': 15613409, 'id_str': '15613409', 'indices': [0, 14]}, {'screen_name': 'elonmusk', 'name': 'Elon Musk', 'id': 44196397, 'id_str': '44196397', 'indices': [15, 24]}, {'screen_name': 'UCF_Football', 'name': 'UCF Football', 'id': 30282826, 'id_str': '30282826', 'indices': [25, 38]}, {'screen_name': 'SpaceX', 'name': 'SpaceX', 'id': 34743251, 'id_str': '34743251', 'indices': [39, 46]}, {'screen_name': 'UCFDannyWhite', 'name': 'Danny White', 'id': 574681362, 'id_str': '574681362', 'indices': [47, 61]}, {'screen_name': 'UCF', 'name': 'UCF', 'id': 18999501, 'id_str': '18999501', 'indices': [62, 66]}]",[],en,recent,860689056,860689056,Tom Johnson,etjohnson4,"Palm Coast, Florida","Stl native living the Florida dream in a 
UCF and Florida Gator house divided.",,,[],False,46,185,1,Thu Oct 04 02:05:24 +0000 2012,1433,,,True,False,552,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/378800000610646893/5224385e6ed8797fbb9462d6385ef917_normal.jpeg,https://pbs.twimg.com/profile_images/378800000610646893/5224385e6ed8797fbb9462d6385ef917_normal.jpeg,https://pbs.twimg.com/profile_banners/860689056/1568591686,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
